House Views,TACTICAL (UP TO 3 MONTHS),CYCLICAL (UP TO 12 MONTHS)
US Equities,NEUTRAL,OVERWEIGHT
European Equities,NEUTRAL,OVERWEIGHT
Japanese Equities,NEUTRAL,OVERWEIGHT
Emerging Market Equities,NEUTRAL,OVERWEIGHT
Chinese Equities,NEUTRAL,OVERWEIGHT
US Treasuries,UNDERWEIGHT,UNDERWEIGHT
Investment Grade Fixed Income,NEUTRAL,NEUTRAL
High Yield Fixed Income,NEUTRAL,OVERWEIGHT
Emerging Market Sovereign,NEUTRAL,OVERWEIGHT
US Dollar,UNDERWEIGHT,UNDERWEIGHT
Energy,NEUTRAL,OVERWEIGHT
Precious Metals,NEUTRAL,OVERWEIGHT
Cash,OVERWEIGHT,NEUTRAL
